,text,label
643,shop đóng_gói siêu cẩn_thận ưng_ý vote shop 5 đủ 10 kí_tự chưa ... m quần chip dokma nha : ),"[1, 0, 0, 0, 0, 0, 0]"
644,đóng_gói sản_phẩm tốt mua hàng shop 2 đóng hàng hơi chậm,"[1, 0, 0, 0, 0, 0, 0]"
645,giao hàng hơi xíu sp_oke,"[1, 0, 0, 1, 0, 0, 0]"
646,không ảnh tạm t4 đặt_hàng shop chất_lượng tốt 👍,"[0, 0, 0, 1, 0, 0, 0]"
647,đóng_gói hàng cẩn_thận giao đầy_đủ hàng giao hàng nhanh ủng_hộ shop,"[1, 0, 0, 0, 0, 0, 0]"
648,chất_lượng oke vận_chuyển nhanh cặp 2 sản_phẩm đi kèm không kệ ủng_hộ shop,"[1, 0, 0, 1, 1, 0, 0]"
649,hnag chuan gia tot ship nhanh lăm thank shop nhe ung hộ tiêp tục nhe ship_nhe,"[1, 1, 1, 0, 0, 0, 0]"
650,giá_cả không rẻ đóng_gói giao hàng nhanh hàng đủ tem,"[1, 1, 1, 0, 0, 0, 0]"
651,sp tốt giao hàng nhanh đóng_gói chắc_chắn,"[1, 0, 0, 0, 0, 0, 0]"
652,hộp đều móp không ảnh_hưởng sữa hôm_qua hộp đầu_ra bé uống mùi sữa thơm ngậy,"[1, 0, 0, 1, 0, 0, 0]"
653,mua không bàn_cãi chất_lượng giá_cả shop 10 like,"[0, 1, 0, 1, 0, 0, 1]"
654,shop giao nhanh đóng_gói cẩn_thận ủng_hộ tiếp,"[1, 0, 0, 0, 0, 0, 0]"
655,mua rùi bé trộm_vía thích_hợp dung sưqx nqyf yên_tâm mua,"[0, 0, 0, 0, 0, 0, 0]"
656,ship nhanh giá ok date mua giảm_giá,"[1, 1, 0, 1, 0, 1, 0]"
657,k s keo gắn bột milo không mịn không ngon lắm bé không,"[0, 0, 0, 1, 0, 1, 0]"
658,mua shop đóng_gói kĩ chắc_chắn hàng nhiệt_tình,"[1, 0, 0, 0, 1, 0, 0]"
659,đóng_gói hàng cẩn_thận giao hàng nhanh sữa_chua váng sữa nguội ăn ngon bé date bé hợp_tác ủng hộp tiếp,"[1, 0, 0, 1, 0, 1, 0]"
660,sữa chuẩn giao hàng nhanh chẳng đóng shop mấy triệu uy_tín nhân_viên nhiệt_tình hôm sữa hôm giao roài,"[1, 0, 1, 0, 1, 0, 0]"
661,bé uống 6m trv không bón ok,"[0, 0, 0, 0, 0, 0, 0]"
662,shop nhiệt_tình đóng_gói chắc_chắn giá_thành rẻ shop,"[1, 1, 0, 0, 1, 0, 0]"
663,đóng hàng cẩn_thận hàng nhanh vc hàng,"[1, 0, 0, 0, 0, 0, 0]"
664,mua chất_lượng chúc shop sản_phẩm,"[0, 0, 0, 1, 0, 0, 0]"
665,chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời,"[0, 0, 0, 1, 0, 0, 0]"
666,sữa chuẩn đóng_gói cực cẩn_thận shop phục_vụ tốt mua nha,"[1, 0, 1, 1, 1, 0, 0]"
667,r hộp hạn ủng_hộ shop 👍,"[1, 0, 0, 0, 0, 1, 0]"
668,suy_oe air,"[0, 0, 0, 0, 0, 0, 0]"
669,giao hàng nhanh đóng_gói hàng cẩn_thận hàng hạn mua,"[1, 0, 0, 1, 0, 1, 0]"
670,giao hàng đúng mẫu_mã ck vạch đầy_đủ thông_tin xuất_xứ yên_tâm giao hàng nhanh bọc hàng cẩn_thận ủng_hộ shop nhiu,"[1, 0, 1, 0, 0, 0, 0]"
671,giao hàng nhanh đóng_gói chắc_chắn chất_lượng chưa kiểm_chứng,"[1, 0, 0, 0, 0, 0, 0]"
672,hàng bé mua thanks_shop,"[0, 0, 0, 0, 0, 0, 0]"
673,mua 2 hộp 1 hộp móp,"[1, 0, 0, 0, 0, 0, 0]"
674,🏆 mã giảm_giá shope 01.01 🆙 🎁 0h lưu mã 999k ➡ 0h lưu mã 999k banner ( mã 10 % tối_đa 30k đơn 250k ► 10k đơn 50k siêu sale nửa_đêm ➡ l,"[0, 0, 0, 0, 0, 0, 0]"
675,ship chậm hàng tốt,"[1, 0, 0, 1, 0, 0, 0]"
676,shop giao hàng nhanh đóng_gói chắc_chắn hình_thức túi sữa không bung rách chỗ shop 5,"[1, 0, 0, 0, 0, 0, 0]"
677,đóng_gói cẩn_thận,"[1, 0, 0, 0, 0, 0, 0]"
678,hàng giao nhanh đóng_gói kỹ giá hợp_lý shop phục tốt,"[1, 1, 0, 0, 1, 0, 0]"
679,ok không không không không không không không không không không không không không không không không không không không không không không không không không không không không không không không không không không không không không không không không,"[0, 0, 0, 1, 0, 0, 0]"
680,giao hàng nhanh đóng_gói cẩn_thận chắc_chắn tiền,"[1, 1, 0, 0, 0, 0, 0]"
681,chat sản pham chua biet vi chua dung giao hang nhanh dong goi chắc_chắn,"[1, 0, 0, 0, 0, 0, 0]"
682,đóng_gói cẩn hàng đóng_gói cẩn hàng nhanh đóng_gói cẩn hàng nhanh,"[1, 0, 0, 0, 0, 0, 0]"
683,shop shop giao hang nhanh shop trả_lời nhanh,"[1, 0, 0, 0, 1, 0, 0]"
684,bé không hợp_tác trộm_vía hàng pha bé tuti bình sữa thơm ngậy,"[0, 0, 0, 1, 0, 0, 0]"
685,lắm r tk chất lượbg oke,"[0, 0, 0, 1, 0, 0, 0]"
686,mua shop đóng_gói cẩn_thận lắm shop hàng nhanh giao hàng cực_kỳ nhanh chủ shop nhiệt_tình,"[1, 0, 0, 0, 1, 0, 0]"
687,ăn 1 2 bố_mẹ hợp sữa yên_tâm mua,"[0, 0, 0, 0, 0, 0, 1]"
688,canh đi sales mua giá hời hàng ổn thực không rẻ,"[0, 1, 0, 1, 0, 0, 0]"
689,đóng_gói sản_phẩm chắc_chắn đúng hàng giao hàng nhanh_chóng ^ ^ !,"[1, 0, 0, 0, 0, 0, 0]"
690,sữa hạn shop đóng_gói chắc_chắn,"[1, 0, 0, 1, 0, 1, 0]"
691,chất_lượng sản_phẩm oke giao hàng,"[1, 0, 0, 1, 0, 0, 0]"
692,shop giao hàng nhanh đóng_gói cẩn_thận,"[1, 0, 0, 0, 0, 0, 0]"
693,giao hàng nhanh sữa hạn !,"[1, 0, 0, 0, 0, 1, 0]"
694,sản_phẩm tốt giao hàng nhanh đóng_gói cẩn_thận,"[1, 0, 0, 1, 0, 0, 0]"
695,giao hàng nhanh sản_phẩm_chất_lượng tốt giá rẻ cửa_hàng mua,"[1, 1, 0, 1, 0, 0, 0]"
696,shop giao hàng nhanh đóng_gói cẩn_thận giá hợp_lý quà mua,"[1, 1, 0, 0, 0, 0, 0]"
697,mua 2 hạn giao hàng nhanh ủng_hộ shop,"[1, 0, 0, 0, 0, 1, 0]"
698,giao hàng nhanh chất_lượng ổn,"[1, 0, 0, 1, 0, 0, 0]"
699,mua shop hàng chuẩn giao hàng nhanh ủng_hộ shop,"[1, 0, 1, 1, 0, 0, 0]"
700,giao hàng nhanh đóng_gói cẩn_thận thanks shop,"[1, 0, 0, 0, 0, 0, 0]"
701,giao hàng nhãng chất_lượng sản_phẩm tuyệt_vời,"[1, 0, 0, 1, 0, 0, 0]"
702,hàng đúng hơi móp hộp không đo vận_chuyển xếp_hàng,"[1, 0, 0, 0, 0, 0, 0]"
703,oki nha mua 2 shop gói cẩn_thận hẹn 10 mua tiếp : ) shop không mã giảm_giá ?,"[1, 0, 0, 0, 0, 0, 0]"
704,giao hàng nhanh đủ số_lượng không ý_kiến tánh ! giao hàng nhanh đủ số_lượng không ý_kiến tánh ! giao hàng nhanh đủ số_lượng không ý_kiến tánh !,"[1, 0, 0, 0, 0, 0, 0]"
705,hàng hàng hàng hàng hàng hàng hàng hàng hàng hàng hàng hàng hàng hàng hàng hàng,"[0, 0, 0, 0, 0, 0, 0]"
706,mua mấy r giao hàng nhanh giá rẻ mua mẹ bé,"[1, 1, 0, 0, 0, 0, 0]"
707,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp xinh,"[1, 0, 0, 1, 0, 0, 0]"
708,bảo sữa ok mua thử mn ghé shop mua đồ ăn vặt nha_😍,"[0, 0, 0, 0, 0, 0, 1]"
709,mua shop shop nhiệt_tình gói hàng kỹ giao hàng nhanh chất_lượng ổn,"[1, 0, 0, 1, 1, 0, 0]"
710,bỉm mềm hơi bé sz mẹ cân_nhắc kích_thước,"[0, 0, 0, 1, 0, 0, 0]"
711,sản_phẩm,"[0, 0, 0, 1, 0, 0, 0]"
712,đóng_gói cẩn_thận hạn shop nhiệt_tình mgg 😀,"[0, 0, 0, 1, 1, 0, 0]"
713,sp chất_lượng giao hàng nhanh,"[1, 0, 0, 1, 0, 0, 0]"
714,shop hàng giá tốt trả_lời khach nhiệt_tình đóng_gói cẩn_thận 🥰,"[1, 1, 0, 0, 1, 0, 0]"
715,hài_lòng,"[0, 0, 0, 0, 0, 0, 1]"
716,đóng goi chac chắn hạn giá_cả hạt_dẻ tuyệt_vời sản_phẩm,"[1, 1, 0, 0, 0, 1, 0]"
717,mua n ủng_hộ đóng_gói kĩ hàng nhìu đầy_đủ uống mấy tài_khoản mua rẻ nhìu đồ_chơi shop bé mua sữa shop lâu_dài,"[1, 1, 0, 0, 1, 0, 0]"
718,mua không ủng_hộ shop chất_lượng,"[0, 0, 0, 1, 0, 0, 0]"
719,không hợp_tác sữa,"[0, 0, 0, 0, 0, 0, 1]"
720,bỉm tốt chất_lượng mềm đóng_gói cẩn_thận giao hàng nhanh,"[1, 0, 0, 1, 0, 0, 0]"
721,hàng ok ảnh xu,"[0, 0, 0, 1, 0, 0, 1]"
722,giao hang nhamh dủ mua nhieif lang ròi bình_luận tknsj chat nhã xu,"[1, 0, 0, 0, 0, 0, 0]"
723,hàng siêu nhanh_chóng ủng_hộ shop dài_dài tem chuẩn 😁,"[1, 0, 1, 0, 0, 0, 0]"
724,chất_lượng ok mua !,"[0, 0, 0, 1, 0, 0, 0]"
725,ưng_í,"[0, 0, 0, 1, 0, 0, 0]"
726,shop lai ben van chuyen giao hang cham giao hang nhanh ma cham hon giao binh thuong,"[1, 0, 0, 0, 0, 0, 0]"
727,now ship giao gói chắc_chắn đủ số_lượng hạn,"[1, 0, 0, 1, 0, 1, 0]"
728,mua chẳng nhận_xét tóm oke nha ủng_hộ,"[0, 0, 0, 1, 0, 0, 0]"
729,shop giao hàng gói cẩn chuẩn,"[1, 0, 1, 0, 0, 0, 0]"
730,shop đóng hàng cẩn hài ủng_hộ shop,"[1, 0, 0, 1, 0, 0, 0]"
731,tết sữa giáa,"[0, 1, 0, 0, 0, 0, 0]"
732,giao hàng chậm,"[1, 0, 0, 0, 0, 0, 0]"
733,hàng đóng_gói cẩn_thận hàng chuẩn không chưa check : ),"[1, 0, 0, 0, 0, 0, 0]"
734,sữa oke mua bé uống sữa,"[0, 0, 0, 1, 0, 0, 0]"
735,tuyệt_vời,"[0, 0, 0, 0, 0, 0, 0]"
736,hàng tốt chất_lượng ok 5sao nha iu kem mặn 20 xu ố la,"[0, 0, 0, 1, 0, 0, 0]"
737,mua shop giao hàng nhanh bọc hàng cẩn_thận mua,"[1, 0, 0, 0, 0, 0, 0]"
738,mua shop hi_vọng shop chương_trình khuyến_mại,"[0, 0, 0, 0, 0, 0, 0]"
739,chất_lượng sản_phẩm ok đóng_gói cẩn_thận giao hàng nhanh ủng_hộ shop lâu_dài,"[1, 0, 0, 1, 0, 0, 0]"
740,shop giao hàng nhanh sản_phẩm_chất vận_chuyển hộp móp shop giao hàng nhẹ_tay chút_xíu shop,"[0, 0, 0, 1, 0, 0, 1]"
741,mua n oke săn sale miệt_mài chi tặng qà,"[0, 0, 0, 0, 0, 0, 1]"
742,rat hai long giao hàng nhanh đóng_gói chắc_chắn shop nhiệt_tình đung size ủng_hộ shop,"[1, 0, 0, 0, 1, 0, 0]"
743,date giao hàng chậm 1ngày,"[1, 0, 0, 0, 0, 1, 0]"
744,giao hàng xong shop không thèm trả_lời,"[0, 0, 0, 0, 1, 0, 0]"
745,giao hàng nhanh hàng nhanh,"[1, 0, 0, 0, 0, 0, 0]"
746,giao hàng hn vô sg nhanh đóng_gói kỹ sữa may bé hợp_tác uống ủng_hộ shop giá tốt,"[1, 1, 0, 0, 0, 0, 0]"
747,chất_lượng tuyệt_vời đóng_gói cẩn_thận giao hàng nhanh,"[1, 0, 0, 1, 0, 0, 0]"
748,sản_phẩm hàng tương_đối ôke ủng_hộ shop,"[1, 0, 0, 1, 0, 0, 0]"
749,shop giao hàng nhanh tư_vấn nhiệt_tình hàng đảm_bảo chất_lượng shop giao hàng nhanh tư_vấn nhiệt_tình hàng đảm_bảo chất_lượng shop giao hàng nhanh tư_vấn nhiệt_tình hàng đảm_bảo chất_lượng,"[1, 0, 0, 1, 1, 0, 0]"
750,đxa hang nhung không tặng mặc du mua shop mấy,"[0, 0, 0, 0, 0, 0, 1]"
751,hàng giao hàng bình_thường đúng hàng hàng hàng hàng hàng hàng hàng,"[1, 0, 0, 0, 0, 0, 0]"
752,shop đóng_gói cẩn_thận tốt ủng_hộ hai !,"[1, 0, 0, 0, 0, 0, 0]"
753,ok shop bnmmbbn,"[0, 0, 0, 1, 0, 0, 0]"
754,ok,"[0, 0, 0, 0, 0, 0, 0]"
755,sữa nga ban_đêm sánh đặc thơm ngon k vị k trẻ ngấy uống 1 hộp sữa pruto ban_đêm giúp bé một bữa ăn đầy_đủ dinh_dưỡng no không quấy khóc ban_đêm ngủ ngon,"[0, 0, 0, 1, 0, 0, 0]"
756,shop giao hàng nhanh đóng_gói tốt date deal giá tốt mua dùm không hình,"[1, 1, 0, 0, 0, 1, 0]"
757,giao hàng nhanh chất_lượng chưa chưa như giá rẻ mua quán mua 5 hộp 1 hộp móp sản_phẩm tốt ủng_hộ shop,"[1, 1, 0, 0, 0, 0, 0]"
758,chưa mua shope shop giao hàng nhanh,"[1, 0, 0, 0, 0, 0, 0]"
759,giao hàng gói cẩn hợp ủng_hộ tiếp,"[1, 1, 0, 0, 0, 0, 0]"
760,giao hàng nhanh đóng_gói cẩn_thận nh đợt khuyến_mãi mua giá tốt,"[1, 1, 0, 0, 1, 0, 0]"
761,hàng móp,"[1, 0, 0, 0, 0, 0, 0]"
762,xịn hạn uống ngon hợp_tác sữa nhạt dòng sữa ship nhanh gọn lẹ,"[1, 0, 0, 1, 0, 1, 0]"
763,shop đóng_gói siêu cẩn_thận giao hàng nhanh hàng vẻ chuẩn,"[1, 0, 1, 0, 0, 0, 0]"
764,chưa đk chỗ sữa rẻ ủng_hộ shop dài_dài,"[0, 1, 0, 0, 0, 0, 0]"
765,mua 2 lon thử hàng tốt sản_phẩm hình,"[0, 0, 1, 0, 0, 0, 0]"
766,hộp sữa 3 tổ mẫu shop giao mẫu cũ móp 1 toàn mua sữa shop chưa hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
767,mua 2 shop quà giao hàng hơi chậm shiper quen giao hàng không gọi qa mẹ m kiểm_tra ủng_hộ shop sale,"[1, 0, 0, 0, 1, 0, 0]"
768,giao hàng nhanh đóng_gói cẩn_thận đúng chủng_loại date_dài,"[1, 0, 1, 1, 0, 1, 0]"
769,đóng_gói cẩn_thận giá rẻ thử vị sữa vỏ hộp hàng chuẩn,"[1, 1, 1, 0, 0, 0, 0]"
770,e 5 sữa gạo 5 ngũ_cốc 5 yến_mạch giao 5 sữa gạo 8 yến_mạch 2 bắp 😥,"[0, 0, 0, 0, 0, 0, 1]"
771,chất_lượng tốt giao hàng siêu nhanh 1 hộp méo 1 tý không không ảnh_hưởng,"[1, 0, 0, 1, 0, 0, 0]"
772,cung_cấp sỉ lẻ yến_sào nha trang nguyên_chất 100 % thủ_công bao test mặt_trận giành tốt người_thân,"[0, 0, 0, 0, 0, 0, 0]"
773,shop đóng_gói cẩn_thận chưa chưa chất_lượng hi_vọng bé hợp_tác,"[1, 0, 0, 0, 0, 0, 0]"
774,khách_hàng thân_thiết 2 bao_tải to chất_lượng tốt shop nhiệt_tình a giao hàng quen,"[0, 0, 0, 1, 1, 0, 0]"
775,giao hàng gói cẩn tem mác hợp mua tiếp,"[1, 0, 1, 0, 1, 0, 0]"
776,bé sữa,"[0, 0, 0, 1, 0, 0, 0]"
777,sản_phẩm_giá rẻ thị_trường chưa hi_vọng chất_lượng oke,"[0, 1, 0, 0, 0, 0, 0]"
778,shop đóng_gói cẩn_thận giao hàng nhanh ủng_hộ shop lâu_dài,"[1, 0, 0, 0, 0, 0, 0]"
779,khách_hàng quen sản_phẩm tốt thương mua kho dính hàng dính băng_keo hộp sữa bóc bóc bẩn ok,"[0, 0, 0, 0, 1, 0, 0]"
780,hình_ảnh tính_chất xu hàng chuẩn ng mua,"[0, 0, 0, 0, 0, 0, 1]"
781,mua gói tâm cẩn phục_vụ ủng_hộ tiếp,"[1, 0, 0, 0, 1, 0, 0]"
782,sản_phẩm tốt giá rẻ shipper dễ_thương 💕,"[1, 1, 0, 1, 0, 0, 0]"
783,sữa móp méo không hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
784,bỉm tốt lắm giao hàng nhanh ủng_hộ lâu_dài,"[1, 0, 0, 1, 0, 0, 0]"
785,sp oke ship nhanh jwj xodok kqo,"[1, 0, 0, 1, 0, 0, 0]"
786,giá tốt,"[0, 1, 0, 0, 0, 0, 0]"
787,mua 2 hài_lòng,"[0, 0, 0, 0, 0, 0, 1]"
788,đóng_gói cẩn_thận giao hàng nhanh sản_phẩm bắt_mắt thử,"[1, 0, 0, 0, 0, 0, 0]"
789,hàng chuẩn shop nhiệt_tình shiper siêu dễ_thương,"[0, 0, 1, 0, 1, 0, 0]"
790,giao hàng nhanh sp đúng mẫu_mã ủng_hộ sộp tiếp canh sale giá rẻ,"[1, 1, 0, 0, 0, 0, 0]"
791,e sữa sữa vị nhạt bé hợp_tác bé hợp sữa cân tốt ủng_hộ shop dài_dài gói hàng kĩ đẹp giao hàng nhanh 👌,"[1, 0, 0, 0, 0, 0, 0]"
792,thật_tình shop minh hài_lòng nhanh_nhẹn đóng_gói kỹ_lưỡng toàn kiếm ưu_đãi chưa kaka,"[1, 0, 0, 0, 1, 0, 0]"
793,chất_lượng sản vời đóng_gói sản_phẩm chắc_chắn giao nhanh,"[1, 0, 0, 1, 0, 0, 0]"
794,sữa giá bình chonh mua bé ăn thử mong bé hợp sữa,"[0, 1, 0, 0, 0, 0, 0]"
795,đtien mua hy_vọng cân đc giá shop tương_đối tốt shope mắc đại_lý 10k hnay hãng market,"[0, 1, 0, 0, 0, 0, 0]"
796,hàng chuẩn mẫu sữa mát uống không cân bé tiêu_hoá oke,"[0, 0, 1, 1, 0, 0, 0]"
797,so_tôt,"[0, 0, 0, 0, 0, 0, 0]"
798,sản_phẩm như miêu_tả shop bọc cẩn_thận không móp méo chất_lượng chưa chưa mua thử 1 hộp ổn tiếp,"[1, 0, 1, 0, 0, 0, 0]"
799,"giao hàng nhanh hn hp mất 1,5 bọc cẩn_thận dày méo một chỗ không méo shop ( vd bóc hàng ) mua sữa mạng không rủi 5sao mong shop chú_ý khắc_phục","[1, 0, 0, 0, 0, 0, 0]"
800,shop cố_tình gửi bình móp nắp bung miếng bạc phồng không hài_lòng tí hình_như mua nhìu shop thờ_ơ như,"[1, 0, 0, 1, 1, 0, 0]"
801,sản_phẩm oke,"[0, 0, 0, 1, 0, 0, 1]"
802,chất_lượng sản_phẩm tuyệt_vời giao hàng nhanh đóng_gói sản_phẩm chắc_chắn hài_lòng,"[1, 0, 0, 1, 0, 0, 0]"
803,giao hàng sp móp,"[1, 0, 0, 0, 0, 0, 0]"
804,kb chất_lượng như hộp cũ,"[0, 0, 1, 0, 0, 0, 0]"
805,bé uống hợp ủng_hộ shop dài_dài,"[0, 0, 0, 0, 0, 0, 1]"
806,shop đồ nhanh bọc hàng cẩn thẩn ủng_hộ shop dài_dài giá_thành hợp_lý date_xa,"[1, 1, 0, 0, 0, 1, 0]"
807,giao hàng phẩm_chất_lượng giá hài_lòng,"[1, 1, 0, 1, 0, 0, 0]"
808,mua shop đóng_gói cẩn_thận giao hàng nhanh,"[1, 0, 0, 0, 0, 0, 0]"
809,sp ok giao hàng tạm đc bỉm mỏng thấm hút tốt đêm sợ tràn 3h bỉm,"[1, 0, 0, 1, 0, 0, 0]"
810,sua hạn moi gia re,"[0, 1, 0, 0, 0, 1, 0]"
811,hàng đóng chắc_chắn giao hành nhanh sản_phẩm hãng ủng_hộ shop 😁,"[1, 0, 1, 0, 0, 0, 0]"
812,giao hàng nhanh chất luong tốt đóng_gói sản_phẩm cẩn_thận tks shop,"[1, 0, 0, 1, 0, 0, 0]"
813,giao hàng siêu gói hàng cẩn_thận ủng_hộ shop dài_dài ak,"[1, 0, 0, 0, 0, 0, 0]"
814,mua 4 mót hộp sữa buồn thiệt,"[1, 0, 0, 0, 0, 0, 1]"
815,hàng móp mó,"[1, 0, 0, 0, 0, 0, 0]"
816,giao gói cẩn_thận lắm sữa hạn hài_lòng ủng_hộ,"[1, 0, 0, 0, 0, 1, 0]"
817,mua shop đóng_hộp đóng_gói cẩn_thận không móp lọ chất_lượng tốt,"[1, 0, 0, 1, 0, 0, 0]"
818,3 mua sữa shop 2th mua chục hộp trộm_vía bé hợp_tác tốt 3 trừ 4 hộp 😂 😂 😂 dự trung_thành shop dài_dài 😍,"[0, 0, 0, 0, 0, 0, 1]"
819,mua tuyệt đẹp ủng hỗ shop dài_dài,"[0, 0, 0, 1, 0, 0, 0]"
820,đóng_gói cẩn_thận ship nhanh_chóng ủng_hộ shop,"[1, 0, 0, 0, 0, 0, 0]"
821,đóng_gói hàng cẩn_thận giao hàng chuẩn chưa thử chưa hy_vọng hợp 🤗,"[1, 0, 1, 0, 0, 0, 0]"
822,giao bỉm nhanh chất_lượng tuyệt_vời ủng_hộ lâu_dài,"[1, 0, 0, 1, 0, 0, 0]"
823,chất_lượng sản_phẩm ủng_hộ hàng hơi chậm,"[1, 0, 0, 1, 0, 0, 0]"
824,san phẩm nhanh se_ung ho tiếp,"[1, 0, 0, 1, 0, 1, 0]"
825,cảm_nhận sản_phẩm tối_thiểu 50 ký_tự 1 hình_ảnh 10 shope_xu lưu_ý : nội_dung không shope xu thu_hồi,"[0, 0, 0, 0, 0, 0, 0]"
826,hàng y hình giao hàng nhanh_chóng shop gói hàng cẩn 202,"[1, 0, 1, 0, 0, 1, 0]"
827,đóng_gói sản_phẩm cẩn_thận,"[1, 0, 0, 0, 0, 0, 0]"
828,bỉm shop gửi bỉm đổi bỉm rẻ tiết_kiệm,"[0, 1, 0, 1, 0, 0, 0]"
829,sản_phẩm ok giao hàng mã giảm_giá 💕,"[1, 1, 0, 1, 0, 0, 0]"
830,hàng oki shop phục_vụ tốt nhiệt_tình ủng_hộ shop zx,"[0, 0, 0, 1, 1, 0, 0]"
831,shop đóng_gói chu_đáo bé uống sữa cân ổn lắm,"[1, 0, 0, 0, 0, 0, 0]"
832,giap hang nhanh dong_goi can re,"[1, 1, 0, 0, 0, 0, 0]"
833,sữa thơm hạn 1 / 2021 tiếc bé không hợp_tác không hợp bé,"[0, 0, 0, 1, 0, 1, 0]"
834,giao hàng nhanh đóng_gói cẩn_thận hy_vọng mua nhiệt_tình,"[1, 0, 0, 0, 1, 0, 0]"
835,mua shop giao hàng nhanh sữa hạn sản_phẩm tuyệt_vời mua sale giá tốt,"[1, 1, 0, 1, 0, 1, 0]"
836,shop gửi lộn nhung_shop đổi hàng nhug ngoại không pk khui thùng đành shop 5,"[0, 0, 0, 0, 1, 0, 0]"
837,giao hàng nhanh giao hàng nhanh giao hàng nhanh giao hàng nhanh giao hàng nhanh giao hàng nhanh giao hàng nhanh giao hàng nhanh giao hàng nhanh,"[0, 0, 0, 0, 0, 0, 0]"
838,đóng_gói chắc_chắn mua hàng shop ưng_ý hài_lòng,"[1, 0, 0, 0, 0, 0, 0]"
839,shop giao hàng nhanh sp hạn đóng_gói chắc_chắn lắm trộm_vía bé uống sữa hợp uống sữa ăn_uống ngon_miệng hẳn không stres ăn ship hàng yêu,"[1, 0, 0, 1, 0, 1, 0]"
840,chất_lượng oke mua shop 1 r se tiep tuc_ung ho shop a,"[0, 0, 0, 1, 0, 0, 0]"
841,sản_phẩm tốt chất_lượng giá rẻ shop cực nhiệt_tình tặng quà yêu mua tiếp,"[0, 1, 0, 1, 1, 0, 0]"
842,? một khui hạn đổi ? what the hell ?,"[1, 0, 0, 0, 0, 0, 1]"
843,1 lon bé hợp_tác mìh mua tem mác chuẩn cty ollin yên_tâm nè ủng_hộ shop 🥰,"[0, 0, 1, 0, 0, 0, 0]"
844,sản_phẩm đóng_gói chắc_chắn tem nhãn đầy_đủ hàng đúng chuẩn,"[1, 0, 1, 0, 0, 0, 0]"
845,hàng oke mua shop ! vỡ nắp shop ko khâu ?,"[1, 0, 0, 0, 1, 0, 0]"
846,lon sữa móp đóng gơi chưa kỹ,"[1, 0, 0, 0, 0, 0, 0]"
847,giao hàng cực mỏng nhẹ mềm ủng_hộ tiếp,"[1, 0, 1, 1, 0, 0, 0]"
848,đủ sữa hạn sữa chuẩn shop nhìu lắm ạh,"[0, 0, 1, 0, 0, 1, 0]"
849,ảnh không lquan nh sua 3 - 4 sữa bác_sĩ e bs nhiu_nhe,"[0, 0, 0, 0, 0, 0, 1]"
850,date 4.202 giá shop shop không không rẻ áp mã hoàn xu đợt sale shop giảm_giá mua,"[0, 1, 0, 0, 0, 1, 0]"
851,mua 2 shop shop gói hàng siêu cẩn_thận ủng_hộ,"[1, 0, 0, 0, 0, 0, 0]"
852,bốn gói tách rời tiện_dụng giá_cả hợp_lý an_tâm 5 mall !,"[0, 1, 0, 0, 0, 1, 0]"
853,mua 2 shop ! tin_tưởng ! sữa ngon thơm tan nhanh không vón cục !,"[0, 0, 0, 1, 1, 0, 0]"
854,đợt tết mắc nhìu mua dự_trữ tết mắc thoi mua chõi,"[0, 1, 0, 0, 0, 0, 0]"
855,giao hàng nhanh sản_phẩm tốt đóng_gói chắc_chắn phục_vụ tốt,"[1, 0, 0, 1, 1, 0, 0]"
856,shop hàng nhanh vận_chuyển giao nhanh lắm sữa oke nha,"[1, 0, 0, 1, 1, 0, 0]"
857,giao hàng nhanh chất_lượng ổn shop,"[1, 0, 0, 1, 0, 0, 0]"
858,đóng_gói chắc_chắn giao hàng nhanh sản_phẩm_chất nhiệt_tình,"[1, 0, 0, 1, 1, 0, 0]"
859,hàng chất lựoeng ok uống tốn muỗng múc sữa to mm,"[0, 0, 0, 1, 0, 0, 0]"
860,hàng tốt đẹp lắm mua shop 😍 🤣,"[0, 0, 0, 1, 0, 0, 1]"
861,giao hàng nhanh đóng_gói cẩn_thận,"[1, 0, 0, 0, 0, 0, 0]"
862,sữa ngon shop mix vị giao hàng nhanh tư_vấn nhiệt_tình gói hàng kĩ_lưỡng,"[1, 0, 0, 1, 1, 0, 0]"
863,mua đóng_gói cẩn_thận hình_ảnh t / c kiếm xu,"[1, 0, 0, 0, 0, 0, 0]"
864,mua lân đầu chưa bé uống không nhận_xét 100 % chữ tiếng lười chụp tạm ảnh xu,"[0, 0, 0, 0, 0, 0, 1]"
865,mua 2 shop đóng_gói cẩn_thận lắm,"[1, 0, 0, 0, 0, 0, 0]"
866,đóng_gói sản_phẩm chắc_chắn giao hàng nhanh chất_lượng sản_phẩm tốt,"[1, 0, 0, 1, 0, 0, 0]"
867,hàng giao hàng đa_phần t12 hàng đảm_bảo,"[1, 0, 0, 0, 0, 1, 0]"
868,sản_phẩm tốt shop giao hàng nhanh uy_tín ủng_hộ shop tiếp,"[1, 0, 0, 1, 0, 0, 0]"
869,mây zing gút chóp hẹn tiếp ủng_hộ mua kiu,"[0, 0, 0, 0, 0, 0, 1]"
